County,ACA Bronze Rate Average,SHOP Bronze Rate Average,ACA Silver Rate Average,SHOP Silver Rate Average,ACA Gold Rate Average,SHOP Gold Rate Average,ACA Plans,SHOP Plans,ACA Carriers,SHOP Carriers,ACA Networks,SHOP Networks,ACA Platinum,SHOP Platinum,Bronze Score,Silver Score,Gold Score,Plan Score,Carrier Score,Network Score,Platinum Score,Total Score
Alameda,$555.00,$477.89,$725.38,$576.67,$859.12,$696.40,114,37,13,7,3,2,1,1,15.3,14.1,14.9,5.5,7.1,3,2,61.9
Alpine,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,1,1,0.0,0.0,0.0,8.7,6.3,3,2,19.9
Amador,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,1,1,5.3,0.4,1.3,9.9,8.3,3,2,30.3
Butte,$555.00,$417.94,$686.97,$544.77,$824.59,$661.27,109,29,10,6,3,2,1,1,5.3,13.9,14.3,7.3,5.6,3,2,51.4
Calaveras,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Colusa,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Contra Costa,$555.00,$506.37,$736.98,$628.20,$872.15,$758.10,114,37,13,7,3,2,0,0,19.2,17.7,18.5,5.5,7.1,3,0,71.0
Del Norte,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,0,0,0.0,0.0,0.0,8.7,6.3,3,0,17.9
El Dorado,$527.09,$442.03,$675.23,$560.50,$805.72,$677.25,117,37,12,7,3,2,0,0,13.5,16.3,16.8,5.7,6.0,3,0,61.2
Fresno,$501.34,$463.00,$653.15,$540.53,$775.13,$653.10,112,37,11,7,2,2,0,0,20.0,16.2,16.9,5.4,4.8,2,0,65.2
Glenn,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Humboldt,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Imperial,$527.09,$417.94,$675.23,$510.83,$805.72,$620.51,118,29,13,6,3,2,1,1,9.3,11.4,12.1,8.1,9.7,3,2,55.6
Inyo,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,110,23,11,5,3,2,0,0,5.3,0.4,1.3,10.0,10.0,3,0,30.1
Kern,$526.52,$426.36,$681.99,$499.78,$806.67,$604.43,121,37,14,7,3,2,0,0,10.9,9.5,10.5,6.0,8.3,3,0,48.3
Kings,$501.34,$463.00,$653.15,$540.53,$775.13,$653.10,112,37,11,7,2,2,0,0,20.0,16.2,16.9,5.4,4.8,2,0,65.2
Lake,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Lassen,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,0,0,0.0,0.0,0.0,8.7,6.3,3,0,17.9
Los Angeles,$501.34,$421.35,$572.92,$496.71,$678.40,$598.71,123,51,16,9,2,2,0,0,13.6,18.5,19.2,3.7,6.5,2,0,63.6
Madera,$501.34,$417.94,$628.26,$510.94,$755.25,$620.64,109,29,10,6,2,2,0,0,13.0,15.3,15.6,7.3,5.6,2,0,58.8
Marin,$526.52,$498.49,$684.61,$613.94,$816.25,$741.02,118,37,13,7,3,2,0,0,21.6,20.1,20.6,5.8,7.1,3,0,78.3
Mariposa,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,110,23,11,5,3,2,0,0,5.3,0.4,1.3,10.0,10.0,3,0,30.1
Mendocino,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Merced,$555.00,$417.94,$686.97,$551.12,$824.59,$668.91,110,29,11,6,3,2,0,0,5.3,14.5,14.9,7.4,6.9,3,0,52.1
Modoc,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,0,0,0.0,0.0,0.0,8.7,6.3,3,0,17.9
Mono,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,91,21,8,4,3,2,0,0,0.0,0.0,0.0,8.8,8.3,3,0,20.1
Monterey,$555.00,$468.74,$696.43,$583.97,$826.55,$705.24,113,37,12,7,3,2,0,0,14.0,16.8,17.6,5.4,6.0,3,0,62.7
Napa,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,110,23,11,5,3,2,0,0,5.3,0.4,1.3,10.0,10.0,3,0,30.1
Nevada,$555.00,$479.93,$701.32,$580.35,$834.89,$700.81,115,37,12,7,3,2,0,0,15.6,16.2,16.7,5.6,6.0,3,0,63.0
Orange,$503.07,$428.55,$617.21,$495.78,$735.12,$599.61,122,37,14,7,2,2,0,0,14.6,14.6,15.2,6.1,8.3,2,0,60.8
Placer,$527.09,$442.03,$675.23,$560.50,$805.72,$677.25,117,37,12,7,3,2,0,0,13.5,16.3,16.8,5.7,6.0,3,0,61.2
Plumas,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Riverside,$501.34,$490.07,$593.98,$536.36,$707.26,$643.14,116,49,13,8,2,2,0,0,23.6,20.4,20.7,3.6,5.2,2,0,75.6
Sacramento,$527.09,$442.03,$675.23,$560.50,$805.72,$677.25,117,37,12,7,3,2,0,0,13.5,16.3,16.8,5.7,6.0,3,0,61.2
San Benito,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,110,23,11,5,3,2,0,0,5.3,0.4,1.3,10.0,10.0,3,0,30.1
San Bernardino,$501.34,$490.07,$593.98,$536.36,$707.26,$643.14,116,49,13,8,2,2,0,0,23.6,20.4,20.7,3.6,5.2,2,0,75.6
San Diego,$504.95,$426.88,$650.84,$514.15,$770.68,$621.69,125,37,15,7,2,2,0,0,14.0,13.7,14.6,6.3,9.5,2,0,60.2
San Francisco,$536.90,$483.67,$669.59,$594.14,$806.12,$717.35,119,37,13,7,3,2,0,0,18.4,19.6,19.7,5.9,7.1,3,0,73.7
San Joaquin,$555.00,$477.39,$669.14,$582.95,$795.87,$703.96,113,37,12,7,3,2,1,1,15.2,18.7,19.4,5.4,6.0,3,2,69.7
San Luis Obispo,$555.00,$439.13,$679.52,$513.31,$807.54,$620.59,114,37,13,7,3,2,0,0,9.2,11.3,12.0,5.5,7.1,3,0,48.1
San Mateo,$555.00,$482.03,$712.51,$589.48,$844.63,$711.77,113,37,12,7,3,2,0,0,15.9,16.1,16.9,5.4,6.0,3,0,63.4
Santa Barbara,$555.00,$439.13,$679.52,$513.31,$807.54,$620.59,114,37,13,7,3,2,0,0,9.2,11.3,12.0,5.5,7.1,3,0,48.1
Santa Clara,$555.00,$470.02,$722.59,$562.13,$855.97,$679.00,113,37,12,7,3,2,0,0,14.2,12.9,13.7,5.4,6.0,3,0,55.2
Santa Cruz,$555.00,$468.74,$696.43,$583.97,$826.55,$705.24,113,37,12,7,3,2,0,0,14.0,16.8,17.6,5.4,6.0,3,0,62.7
Shasta,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Sierra,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Siskiyou,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,0,0,0.0,0.0,0.0,8.7,6.3,3,0,17.9
Solano,$526.52,$498.49,$684.61,$613.94,$816.25,$741.02,118,37,13,7,3,2,1,1,21.6,20.1,20.6,5.8,7.1,3,2,80.3
Sonoma,$555.00,$417.94,$686.97,$568.44,$824.59,$689.70,110,29,11,6,3,2,1,1,5.3,16.2,16.5,7.4,6.9,3,2,57.4
Stanislaus,$555.00,$477.39,$669.14,$582.95,$795.87,$703.96,113,37,12,7,3,2,0,0,15.2,18.7,19.4,5.4,6.0,3,0,67.7
Sutter,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Tehama,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Trinity,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Tulare,$555.00,$477.39,$669.14,$582.95,$795.87,$703.96,113,37,12,7,3,2,0,0,15.2,18.7,19.4,5.4,6.0,3,0,67.7
Tuolumne,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Ventura,$555.00,$439.13,$679.52,$513.31,$807.54,$620.59,114,37,13,7,3,2,0,0,9.2,11.3,12.0,5.5,7.1,3,0,48.1
Yolo,$527.09,$442.03,$675.23,$560.50,$805.72,$677.25,117,37,12,7,3,2,0,0,13.5,16.3,16.8,5.7,6.0,3,0,61.2
Yuba,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3